Idusuarios,Deslogin,Dessenha,Dtcadastro
14,aluno,@lun0,2017-09-29 20:49:50
15,aluno,@aluno,2017-09-29 21:06:43
9,user_aluno,@lun0,2017-09-29 20:20:12
10,user_aluno,@lun0,2017-09-29 20:25:35
11,user_aluno,@lun0,2017-09-29 20:30:50
12,user_aluno,@lun0,2017-09-29 20:35:59
13,user_aluno,@lun0,2017-09-29 20:37:37
7,user_Carmen,455566,2017-09-29 16:49:20
8,user_Carmenlitas,677777,2017-09-29 17:08:22
2,user_Eronildes,123456,2017-09-26 00:43:58
4,user_Fabio,898989,2017-09-28 16:07:12
3,user_Jeniffer,123567,2017-09-28 16:07:12
5,user_Kiko,779797,2017-09-28 16:07:12
16,user_metallica,12365479,2017-09-29 21:10:12
6,user_Renato,677776,2017-09-29 16:49:20
